Year,Style,Color,Retail Price,Resale - New,Resale - Pre-Owned
2022,Mini Constance 14,Etain,9599,16606,17468
2023,Mini Constance 14,Etain,10249,17554,11581
2024,Mini Constance 14,Etain,10064,23574,16978
2025,Mini Constance 14,Etain,11027,17929,13017
2015,Mini Constance 14,Craie,10256,22694,13757
2016,Mini Constance 14,Craie,10510,15657,14262
2017,Mini Constance 14,Craie,10696,17940,13671
2018,Mini Constance 14,Craie,11067,14498,15258
2019,Mini Constance 14,Craie,11355,27182,16023
2020,Mini Constance 14,Craie,11185,15077,19416
2021,Mini Constance 14,Craie,11726,24858,22796
2022,Mini Constance 14,Craie,12273,29926,23441
2023,Mini Constance 14,Craie,11848,24233,17518
2024,Mini Constance 14,Craie,12160,29570,15766
2025,Mini Constance 14,Craie,12786,22588,25398
2015,Mini Constance 14,Nata,8072,13174,12291
2016,Mini Constance 14,Nata,8245,20496,9693
2017,Mini Constance 14,Nata,8484,17720,13625
2018,Mini Constance 14,Nata,8822,20667,12682
2019,Mini Constance 14,Nata,9191,22575,10832
2020,Mini Constance 14,Nata,9300,17060,14785
2021,Mini Constance 14,Nata,9685,21030,18672
2022,Mini Constance 14,Nata,9440,20061,17901
2023,Mini Constance 14,Nata,9579,19131,18213
2024,Mini Constance 14,Nata,10289,14194,11875
2025,Mini Constance 14,Nata,10700,26640,20235
2015,Mini Constance 14,Rose Sakura,8576,16598,16696
2016,Mini Constance 14,Rose Sakura,8753,12736,15995
2017,Mini Constance 14,Rose Sakura,9112,18182,12421
2018,Mini Constance 14,Rose Sakura,9264,12911,11319
2019,Mini Constance 14,Rose Sakura,9610,18573,17206
2020,Mini Constance 14,Rose Sakura,9596,18727,14259
2021,Mini Constance 14,Rose Sakura,10143,17353,14088
2022,Mini Constance 14,Rose Sakura,9865,23883,13448
2023,Mini Constance 14,Rose Sakura,10390,17500,17344
2024,Mini Constance 14,Rose Sakura,10216,23954,15410
2025,Mini Constance 14,Rose Sakura,10375,15426,13770
2015,Mini Constance 14,Bleu Brume,9987,14300,14616
2016,Mini Constance 14,Bleu Brume,10284,20724,12058
2017,Mini Constance 14,Bleu Brume,10472,14325,13385
2018,Mini Constance 14,Bleu Brume,10607,20611,17577
2019,Mini Constance 14,Bleu Brume,10637,21737,15734
2020,Mini Constance 14,Bleu Brume,11090,23325,20007
2021,Mini Constance 14,Bleu Brume,11595,19299,14862
2022,Mini Constance 14,Bleu Brume,11072,27591,18070
2023,Mini Constance 14,Bleu Brume,11330,19150,15582
2024,Mini Constance 14,Bleu Brume,11975,29592,18113
2025,Mini Constance 14,Bleu Brume,12747,28921,22476
2015,Mini Constance 14,Vert Criquet,7731,17621,14684
2016,Mini Constance 14,Vert Criquet,7888,18552,11034
2017,Mini Constance 14,Vert Criquet,8286,12186,10832
2018,Mini Constance 14,Vert Criquet,8518,20511,13145
2019,Mini Constance 14,Vert Criquet,8396,19775,13989
2020,Mini Constance 14,Vert Criquet,9001,20867,14236
2021,Mini Constance 14,Vert Criquet,9226,13426,14605
2022,Mini Constance 14,Vert Criquet,9341,17278,10833
2023,Mini Constance 14,Vert Criquet,9389,17220,16788
2024,Mini Constance 14,Vert Criquet,9352,18704,10988
2025,Mini Constance 14,Vert Criquet,10217,15949,14054
2015,Picotin Lock 18,Gold,10799,22621,12034
2016,Picotin Lock 18,Gold,11095,17250,13269
2017,Picotin Lock 18,Gold,11242,24534,16653
2018,Picotin Lock 18,Gold,11298,18287,18953
2019,Picotin Lock 18,Gold,11598,20265,23064
2020,Picotin Lock 18,Gold,11910,19438,16700
2021,Picotin Lock 18,Gold,11887,17315,23320
2022,Picotin Lock 18,Gold,12094,19620,24187
2023,Picotin Lock 18,Gold,12039,20056,22449
2024,Picotin Lock 18,Gold,12627,28428,15695
2025,Picotin Lock 18,Gold,13025,32060,23804
2015,Picotin Lock 18,Noir,8625,18075,11400
2016,Picotin Lock 18,Noir,8920,17100,13438
2017,Picotin Lock 18,Noir,8962,11895,15652
2018,Picotin Lock 18,Noir,9140,16227,18254
2019,Picotin Lock 18,Noir,9514,17235,16291
2020,Picotin Lock 18,Noir,9378,16459,10967
2021,Picotin Lock 18,Noir,9575,16296,14300
2022,Picotin Lock 18,Noir,9888,19771,13791
2023,Picotin Lock 18,Noir,9970,19642,18739
2024,Picotin Lock 18,Noir,10906,20644,12101
2025,Picotin Lock 18,Noir,11476,16720,18548
2015,Picotin Lock 18,Etoupe,11416,22553,16500
2016,Picotin Lock 18,Etoupe,11566,17720,17352
2017,Picotin Lock 18,Etoupe,11797,22563,15290
2018,Picotin Lock 18,Etoupe,12192,20869,21583
2019,Picotin Lock 18,Etoupe,12440,21027,18282
2020,Picotin Lock 18,Etoupe,12612,20217,15665
2021,Picotin Lock 18,Etoupe,13207,28480,18311
2022,Picotin Lock 18,Etoupe,13249,24061,23879
2023,Picotin Lock 18,Etoupe,13265,26545,19665
2024,Picotin Lock 18,Etoupe,14020,22930,22636
2025,Picotin Lock 18,Etoupe,12947,29336,15579
2015,Picotin Lock 18,Etain,8874,20560,15068
2016,Picotin Lock 18,Etain,9134,22034,14158
2017,Picotin Lock 18,Etain,9377,16288,14356
2018,Picotin Lock 18,Etain,9626,22341,11812
2019,Picotin Lock 18,Etain,9474,20186,17741
2020,Picotin Lock 18,Etain,10168,23154,14070
2021,Picotin Lock 18,Etain,10095,14668,13345
2022,Picotin Lock 18,Etain,10642,18670,12196
2023,Picotin Lock 18,Etain,11104,15947,15021
2024,Picotin Lock 18,Etain,10426,24182,18215
2025,Picotin Lock 18,Etain,11037,22272,18601
2015,Picotin Lock 18,Craie,7751,13485,15186
2016,Picotin Lock 18,Craie,7956,18502,15903
2017,Picotin Lock 18,Craie,8119,11646,14195
2018,Picotin Lock 18,Craie,8557,15011,14732
2019,Picotin Lock 18,Craie,8565,18916,16761
2020,Picotin Lock 18,Craie,8974,16817,13904
2021,Picotin Lock 18,Craie,9355,16610,17283
2022,Picotin Lock 18,Craie,9064,16707,10882
2023,Picotin Lock 18,Craie,9673,22554,16561
2024,Picotin Lock 18,Craie,9716,18129,11167
2025,Picotin Lock 18,Craie,10602,16598,18575
2015,Picotin Lock 18,Nata,11430,20517,19086
2016,Picotin Lock 18,Nata,11718,25959,16013
2017,Picotin Lock 18,Nata,11777,16121,14237
2018,Picotin Lock 18,Nata,12123,27006,22455
2019,Picotin Lock 18,Nata,12384,26765,23572
2020,Picotin Lock 18,Nata,12908,29256,16545
2021,Picotin Lock 18,Nata,12928,29887,18857
2022,Picotin Lock 18,Nata,13240,32787,23813
2023,Picotin Lock 18,Nata,13226,23743,21708
2024,Picotin Lock 18,Nata,13528,19001,15024
2025,Picotin Lock 18,Nata,14124,25756,25848
2015,Picotin Lock 18,Rose Sakura,7735,13209,11820
2016,Picotin Lock 18,Rose Sakura,7948,14303,10898
2017,Picotin Lock 18,Rose Sakura,8069,18227,13124
2018,Picotin Lock 18,Rose Sakura,8625,14944,12554
2019,Picotin Lock 18,Rose Sakura,8732,14682,17044
2020,Picotin Lock 18,Rose Sakura,9072,17322,12008
2021,Picotin Lock 18,Rose Sakura,9158,14760,13511
2022,Picotin Lock 18,Rose Sakura,8853,20671,15132
2023,Picotin Lock 18,Rose Sakura,9957,13224,16324
2024,Picotin Lock 18,Rose Sakura,9321,16743,15797
2025,Picotin Lock 18,Rose Sakura,9752,17493,17681
2015,Picotin Lock 18,Bleu Brume,7501,11891,13755
2016,Picotin Lock 18,Bleu Brume,7733,12663,9253
2017,Picotin Lock 18,Bleu Brume,7911,16963,11556
2018,Picotin Lock 18,Bleu Brume,8020,18319,8907
2019,Picotin Lock 18,Bleu Brume,8115,16639,13314
2020,Picotin Lock 18,Bleu Brume,8509,12836,11483
2021,Picotin Lock 18,Bleu Brume,8645,21573,14611
2022,Picotin Lock 18,Bleu Brume,9332,13052,16074
2023,Picotin Lock 18,Bleu Brume,8790,12012,16980
2024,Picotin Lock 18,Bleu Brume,10118,24396,17958
2025,Picotin Lock 18,Bleu Brume,9813,13196,14243
2015,Picotin Lock 18,Vert Criquet,7292,16729,10769
2016,Picotin Lock 18,Vert Criquet,7456,16030,14829
2017,Picotin Lock 18,Vert Criquet,7803,15042,11215
2018,Picotin Lock 18,Vert Criquet,8031,16693,14353
2019,Picotin Lock 18,Vert Criquet,7984,13639,15222
2020,Picotin Lock 18,Vert Criquet,8462,18030,11367
2021,Picotin Lock 18,Vert Criquet,8465,15887,13918
2022,Picotin Lock 18,Vert Criquet,9339,20459,17054
2023,Picotin Lock 18,Vert Criquet,9455,20797,15927
2024,Picotin Lock 18,Vert Criquet,9688,21659,15023
2025,Picotin Lock 18,Vert Criquet,10121,15198,12038
2015,Picotin Lock 22,Gold,10723,15042,17314
2016,Picotin Lock 22,Gold,10903,18649,16593
2017,Picotin Lock 22,Gold,11053,21128,21683
2018,Picotin Lock 22,Gold,11364,17466,18395
2019,Picotin Lock 22,Gold,11400,19589,20276
2020,Picotin Lock 22,Gold,12047,28987,22495
2021,Picotin Lock 22,Gold,11839,18347,17807
2022,Picotin Lock 22,Gold,12702,28210,15129
2023,Picotin Lock 22,Gold,12647,22772,18125
2024,Picotin Lock 22,Gold,13364,28800,24366
2025,Picotin Lock 22,Gold,12920,21993,23660
2015,Picotin Lock 22,Noir,7351,12990,9056
2016,Picotin Lock 22,Noir,7604,10406,14442
2017,Picotin Lock 22,Noir,7744,18900,12933
2018,Picotin Lock 22,Noir,8044,14530,9817
2019,Picotin Lock 22,Noir,8126,11893,14005
2020,Picotin Lock 22,Noir,8832,21272,16406
2021,Picotin Lock 22,Noir,8593,15775,17142
2022,Picotin Lock 22,Noir,8768,18332,11949
2023,Picotin Lock 22,Noir,9179,15195,11625
2024,Picotin Lock 22,Noir,9777,15616,14094
2025,Picotin Lock 22,Noir,9136,12562,14508
2015,Picotin Lock 22,Etoupe,11393,25596,15612
2016,Picotin Lock 22,Etoupe,11685,28954,21195
2017,Picotin Lock 22,Etoupe,11968,21960,19419
2018,Picotin Lock 22,Etoupe,12022,20783,15258
2019,Picotin Lock 22,Etoupe,12289,28267,13763
2020,Picotin Lock 22,Etoupe,12551,19747,17611
2021,Picotin Lock 22,Etoupe,12995,31713,24206
2022,Picotin Lock 22,Etoupe,12495,24681,19573
2023,Picotin Lock 22,Etoupe,13036,24355,21492
2024,Picotin Lock 22,Etoupe,13570,24859,22721
2025,Picotin Lock 22,Etoupe,14102,21872,27550
2015,Picotin Lock 22,Etain,8713,17371,11508
2016,Picotin Lock 22,Etain,9012,15253,11417
2017,Picotin Lock 22,Etain,9061,13242,10154
2018,Picotin Lock 22,Etain,9572,13070,18847
2019,Picotin Lock 22,Etain,9586,22030,13562
2020,Picotin Lock 22,Etain,9938,13470,13790
2021,Picotin Lock 22,Etain,10048,23914,15938
2022,Picotin Lock 22,Etain,10167,23418,14426
2023,Picotin Lock 22,Etain,10843,19678,14640
2024,Picotin Lock 22,Etain,11000,16597,20017
2025,Picotin Lock 22,Etain,11089,14883,13489
2015,Picotin Lock 22,Craie,10466,17802,11834
2016,Picotin Lock 22,Craie,10760,18356,20731
2017,Picotin Lock 22,Craie,11065,15652,13956
2018,Picotin Lock 22,Craie,11243,15964,13444
2019,Picotin Lock 22,Craie,11576,27762,17019
2020,Picotin Lock 22,Craie,11561,28016,21737
2021,Picotin Lock 22,Craie,12109,22770,16902
2022,Picotin Lock 22,Craie,11538,27998,22227
2023,Picotin Lock 22,Craie,12339,19714,23998
2024,Picotin Lock 22,Craie,12527,22515,18434
2025,Picotin Lock 22,Craie,13045,21812,25555
2015,Picotin Lock 22,Nata,9793,20368,12404
2016,Picotin Lock 22,Nata,10033,14034,14076
2017,Picotin Lock 22,Nata,10153,16867,18780
2018,Picotin Lock 22,Nata,10479,14390,11777
2019,Picotin Lock 22,Nata,10904,19798,14250
2020,Picotin Lock 22,Nata,10759,18340,20256
2021,Picotin Lock 22,Nata,11006,14308,15658
2022,Picotin Lock 22,Nata,11204,27817,22183
2023,Picotin Lock 22,Nata,11108,24419,20372
2024,Picotin Lock 22,Nata,11487,27283,17748
2025,Picotin Lock 22,Nata,11961,25537,19713
2015,Picotin Lock 22,Rose Sakura,7850,13296,11700
2016,Picotin Lock 22,Rose Sakura,8102,10575,12702
2017,Picotin Lock 22,Rose Sakura,8395,18471,13532
2018,Picotin Lock 22,Rose Sakura,8643,17631,11473
2019,Picotin Lock 22,Rose Sakura,8849,17215,14014
2020,Picotin Lock 22,Rose Sakura,8679,17452,12171
2021,Picotin Lock 22,Rose Sakura,9007,19071,15978
2022,Picotin Lock 22,Rose Sakura,9737,20093,18937
2023,Picotin Lock 22,Rose Sakura,10112,20500,16271
2024,Picotin Lock 22,Rose Sakura,10449,16486,15166
2025,Picotin Lock 22,Rose Sakura,10471,25775,17678
2015,Picotin Lock 22,Bleu Brume,8222,17612,14599
2016,Picotin Lock 22,Bleu Brume,8472,15724,12024
2017,Picotin Lock 22,Bleu Brume,8699,16756,17342
2018,Picotin Lock 22,Bleu Brume,8935,20658,13443
2019,Picotin Lock 22,Bleu Brume,8825,15150,15140
2020,Picotin Lock 22,Bleu Brume,9521,20637,12873
2021,Picotin Lock 22,Bleu Brume,9628,14425,16457
2022,Picotin Lock 22,Bleu Brume,9457,20902,15803
2023,Picotin Lock 22,Bleu Brume,10329,19167,15051
2024,Picotin Lock 22,Bleu Brume,10577,13833,15846
2025,Picotin Lock 22,Bleu Brume,10030,21505,16657
2015,Picotin Lock 22,Vert Criquet,10870,14259,17366
2016,Picotin Lock 22,Vert Criquet,11164,18680,21395
2017,Picotin Lock 22,Vert Criquet,11447,24721,20722
2018,Picotin Lock 22,Vert Criquet,11736,18399,21429
2019,Picotin Lock 22,Vert Criquet,11632,17756,15058
2020,Picotin Lock 22,Vert Criquet,12322,29923,23243
2021,Picotin Lock 22,Vert Criquet,12612,17197,18316
2022,Picotin Lock 22,Vert Criquet,12010,18795,21182
2023,Picotin Lock 22,Vert Criquet,12224,18583,21150
2024,Picotin Lock 22,Vert Criquet,13545,26751,16892
2025,Picotin Lock 22,Vert Criquet,12987,29782,19219
2015,Evelyne TPM,Gold,9108,18411,10958
2016,Evelyne TPM,Gold,9321,15535,13672
2017,Evelyne TPM,Gold,9670,22392,18920
2018,Evelyne TPM,Gold,9979,15251,13282
2019,Evelyne TPM,Gold,10156,17923,15643
2020,Evelyne TPM,Gold,10457,24628,20260
2021,Evelyne TPM,Gold,10416,24565,13151
2022,Evelyne TPM,Gold,10671,16501,20217
2023,Evelyne TPM,Gold,10628,17163,20825
2024,Evelyne TPM,Gold,11765,16438,17631
2025,Evelyne TPM,Gold,11914,17481,14659
2015,Evelyne TPM,Noir,9601,21736,11785
2016,Evelyne TPM,Noir,9898,18702,10986
2017,Evelyne TPM,Noir,10175,14382,19066
2018,Evelyne TPM,Noir,10319,14811,14940
2019,Evelyne TPM,Noir,10658,22156,14333
2020,Evelyne TPM,Noir,11054,17660,19971
2021,Evelyne TPM,Noir,11004,27043,18460
2022,Evelyne TPM,Noir,11440,22115,21377
2023,Evelyne TPM,Noir,11170,17135,22120
2024,Evelyne TPM,Noir,10990,21558,20065
2025,Evelyne TPM,Noir,11445,21665,16461
2015,Evelyne TPM,Etoupe,10906,23786,16129
2016,Evelyne TPM,Etoupe,11140,15293,20660
2017,Evelyne TPM,Etoupe,11380,27282,19541
2018,Evelyne TPM,Etoupe,11750,21391,15549
2019,Evelyne TPM,Etoupe,11922,24711,20609
2020,Evelyne TPM,Etoupe,12036,28495,20471
2021,Evelyne TPM,Etoupe,12490,25561,20074
2022,Evelyne TPM,Etoupe,12185,22419,17354
2023,Evelyne TPM,Etoupe,12175,30429,20859
2024,Evelyne TPM,Etoupe,12431,25507,23084
2025,Evelyne TPM,Etoupe,13389,31068,23683
2015,Evelyne TPM,Etain,8344,16839,9547
2016,Evelyne TPM,Etain,8584,19305,13582
2017,Evelyne TPM,Etain,8799,21477,16162
2018,Evelyne TPM,Etain,9079,12823,13167
2019,Evelyne TPM,Etain,9232,22346,16227
2020,Evelyne TPM,Etain,9568,19266,10582
2021,Evelyne TPM,Etain,9842,20218,12444
2022,Evelyne TPM,Etain,10191,22333,18399
2023,Evelyne TPM,Etain,9931,19189,19690
2024,Evelyne TPM,Etain,9846,19115,16372
2025,Evelyne TPM,Etain,11193,25372,12501
2015,Evelyne TPM,Craie,11719,21860,18239
2016,Evelyne TPM,Craie,11976,22588,23933
2017,Evelyne TPM,Craie,12251,27418,13485
2018,Evelyne TPM,Craie,12550,18079,23580
2019,Evelyne TPM,Craie,12742,30394,21209
2020,Evelyne TPM,Craie,13061,24661,14645
2021,Evelyne TPM,Craie,13135,24026,21667
2022,Evelyne TPM,Craie,13193,18918,24226
2023,Evelyne TPM,Craie,14004,23730,26448
2024,Evelyne TPM,Craie,13347,22590,20886
2025,Evelyne TPM,Craie,13950,29836,17369
2015,Evelyne TPM,Nata,7415,9646,11435
2016,Evelyne TPM,Nata,7593,12109,10477
2017,Evelyne TPM,Nata,7767,14209,12732
2018,Evelyne TPM,Nata,7902,14966,10502
2019,Evelyne TPM,Nata,8331,14768,15368
2020,Evelyne TPM,Nata,8424,15833,12853
2021,Evelyne TPM,Nata,8759,20193,14795
2022,Evelyne TPM,Nata,8977,19290,10675
2023,Evelyne TPM,Nata,9576,15611,16347
2024,Evelyne TPM,Nata,9037,15607,15314
2025,Evelyne TPM,Nata,10024,13225,13663
2015,Evelyne TPM,Rose Sakura,7778,16981,11501
2016,Evelyne TPM,Rose Sakura,8009,11130,13728
2017,Evelyne TPM,Rose Sakura,8240,15871,15434
2018,Evelyne TPM,Rose Sakura,8271,18507,15291
2019,Evelyne TPM,Rose Sakura,8536,16421,14546
2020,Evelyne TPM,Rose Sakura,8917,12325,13783
2021,Evelyne TPM,Rose Sakura,9018,15942,14104
2022,Evelyne TPM,Rose Sakura,9081,17192,16057
2023,Evelyne TPM,Rose Sakura,9711,24120,14919
2024,Evelyne TPM,Rose Sakura,10301,23309,14531
2025,Evelyne TPM,Rose Sakura,9724,21828,12017
2015,Evelyne TPM,Bleu Brume,7596,11527,8441
2016,Evelyne TPM,Bleu Brume,7837,16732,10212
2017,Evelyne TPM,Bleu Brume,7946,19537,12854
2018,Evelyne TPM,Bleu Brume,8109,12445,14708
2019,Evelyne TPM,Bleu Brume,8212,14814,12705
2020,Evelyne TPM,Bleu Brume,8504,15231,10017
2021,Evelyne TPM,Bleu Brume,8823,12971,13977
2022,Evelyne TPM,Bleu Brume,9644,23718,14184
2023,Evelyne TPM,Bleu Brume,9723,16983,11321
2024,Evelyne TPM,Bleu Brume,10036,18041,13554
2025,Evelyne TPM,Bleu Brume,9310,13756,10402
2015,Evelyne TPM,Vert Criquet,7324,17048,8504
2016,Evelyne TPM,Vert Criquet,7607,17184,11683
2017,Evelyne TPM,Vert Criquet,7648,12496,10796
2018,Evelyne TPM,Vert Criquet,8100,19032,10114
2019,Evelyne TPM,Vert Criquet,8377,13063,10947
2020,Evelyne TPM,Vert Criquet,8639,11328,13485
2021,Evelyne TPM,Vert Criquet,8302,17726,15275
2022,Evelyne TPM,Vert Criquet,9132,20695,17577
2023,Evelyne TPM,Vert Criquet,8900,21888,9839
2024,Evelyne TPM,Vert Criquet,9694,12890,11873
2025,Evelyne TPM,Vert Criquet,10302,15617,17679
2015,Evelyne PM,Gold,10213,15474,15554
2016,Evelyne PM,Gold,10395,25259,11563
2017,Evelyne PM,Gold,10707,18292,19113
2018,Evelyne PM,Gold,10930,22292,19989
2019,Evelyne PM,Gold,11030,22009,17659
2020,Evelyne PM,Gold,11359,18613,18173
2021,Evelyne PM,Gold,11497,23936,18548
2022,Evelyne PM,Gold,12231,26250,18077
2023,Evelyne PM,Gold,11561,27380,18410
2024,Evelyne PM,Gold,12036,17328,18020
2025,Evelyne PM,Gold,11716,15594,13764
2015,Evelyne PM,Noir,9561,18306,14443
2016,Evelyne PM,Noir,9733,23976,14108
2017,Evelyne PM,Noir,10020,20433,11956
2018,Evelyne PM,Noir,10374,15128,19973
2019,Evelyne PM,Noir,10387,18967,19381
2020,Evelyne PM,Noir,11020,19844,19400
2021,Evelyne PM,Noir,10672,23414,19986
2022,Evelyne PM,Noir,11241,16101,19558
2023,Evelyne PM,Noir,11510,23759,19436
2024,Evelyne PM,Noir,11352,22840,18327
2025,Evelyne PM,Noir,12285,30116,15302
2015,Evelyne PM,Etoupe,8933,17428,14616
2016,Evelyne PM,Etoupe,9123,21705,10858
2017,Evelyne PM,Etoupe,9360,21352,17943
2018,Evelyne PM,Etoupe,9667,21038,16723
2019,Evelyne PM,Etoupe,9882,22325,11906
2020,Evelyne PM,Etoupe,9813,16012,15018
2021,Evelyne PM,Etoupe,10382,16795,16976
2022,Evelyne PM,Etoupe,10927,23990,16025
2023,Evelyne PM,Etoupe,10798,14334,12939
2024,Evelyne PM,Etoupe,10682,25310,18026
2025,Evelyne PM,Etoupe,11160,23726,21124
2015,Evelyne PM,Etain,9112,20682,11361
2016,Evelyne PM,Etain,9309,18812,17347
2017,Evelyne PM,Etain,9561,14580,15284
2018,Evelyne PM,Etain,9750,16148,18251
2019,Evelyne PM,Etain,9949,22258,17893
2020,Evelyne PM,Etain,10454,14748,19513
2021,Evelyne PM,Etain,10811,14102,14104
2022,Evelyne PM,Etain,10180,19931,13903
2023,Evelyne PM,Etain,11163,19608,17429
2024,Evelyne PM,Etain,10765,21271,14693
2025,Evelyne PM,Etain,11547,24857,22883
2015,Evelyne PM,Craie,8833,13626,12844
2016,Evelyne PM,Craie,9041,19819,17074
2017,Evelyne PM,Craie,9181,12575,11761
2018,Evelyne PM,Craie,9530,22739,17092
2019,Evelyne PM,Craie,9506,13081,16986
2020,Evelyne PM,Craie,10086,14696,17795
2021,Evelyne PM,Craie,9889,17244,12323
2022,Evelyne PM,Craie,10814,23870,15716
2023,Evelyne PM,Craie,11156,23111,15772
2024,Evelyne PM,Craie,10421,14959,12220
2025,Evelyne PM,Craie,11410,23135,22638
2015,Evelyne PM,Nata,8429,14868,10994
2016,Evelyne PM,Nata,8658,16612,15366
2017,Evelyne PM,Nata,8906,15137,10827
2018,Evelyne PM,Nata,9085,12350,14144
2019,Evelyne PM,Nata,9471,18558,13566
2020,Evelyne PM,Nata,9849,16685,11075
2021,Evelyne PM,Nata,9749,21296,18759
2022,Evelyne PM,Nata,10302,17938,18094
2023,Evelyne PM,Nata,10148,18614,12098
2024,Evelyne PM,Nata,9990,15033,15068
2025,Evelyne PM,Nata,10729,18311,18532
2015,Evelyne PM,Rose Sakura,11232,17895,12882
2016,Evelyne PM,Rose Sakura,11518,21711,22632
2017,Evelyne PM,Rose Sakura,11639,21836,18647
2018,Evelyne PM,Rose Sakura,11940,23364,19879
2019,Evelyne PM,Rose Sakura,12092,26986,16013
2020,Evelyne PM,Rose Sakura,12353,21467,19270
2021,Evelyne PM,Rose Sakura,13004,24980,19558
2022,Evelyne PM,Rose Sakura,12344,29613,23541
2023,Evelyne PM,Rose Sakura,13218,31509,21120
2024,Evelyne PM,Rose Sakura,13691,25498,23830
2025,Evelyne PM,Rose Sakura,13784,26826,21567
2015,Evelyne PM,Bleu Brume,11465,25461,15320
2016,Evelyne PM,Bleu Brume,11763,19106,16398
2017,Evelyne PM,Bleu Brume,11978,19258,23406
2018,Evelyne PM,Bleu Brume,12187,27389,16596
2019,Evelyne PM,Bleu Brume,12472,19325,19161
2020,Evelyne PM,Bleu Brume,12894,26013,17262
2021,Evelyne PM,Bleu Brume,13064,25828,20450
2022,Evelyne PM,Bleu Brume,12873,27528,17215
2023,Evelyne PM,Bleu Brume,12744,28595,24593
2024,Evelyne PM,Bleu Brume,13835,19829,20534
2025,Evelyne PM,Bleu Brume,14067,19322,25975
2015,Evelyne PM,Vert Criquet,9220,12269,13013
2016,Evelyne PM,Vert Criquet,9434,15187,17110
2017,Evelyne PM,Vert Criquet,9700,23080,11872
2018,Evelyne PM,Vert Criquet,9899,22616,15169
2019,Evelyne PM,Vert Criquet,10201,13444,18008
2020,Evelyne PM,Vert Criquet,10068,17421,16425
2021,Evelyne PM,Vert Criquet,10322,20580,16315
2022,Evelyne PM,Vert Criquet,11170,27123,21383
2023,Evelyne PM,Vert Criquet,11424,27180,14270
2024,Evelyne PM,Vert Criquet,11485,19094,21000
2025,Evelyne PM,Vert Criquet,12152,29359,19571
2015,Lindy 26,Gold,11194,24590,21412
2016,Lindy 26,Gold,11464,26086,16469
2017,Lindy 26,Gold,11609,15393,20202
2018,Lindy 26,Gold,11692,22816,20109
2019,Lindy 26,Gold,12353,29884,14405
2020,Lindy 26,Gold,12538,17480,17634
2021,Lindy 26,Gold,12178,16248,20456
2022,Lindy 26,Gold,13070,27039,20721
2023,Lindy 26,Gold,13105,17544,17082
2024,Lindy 26,Gold,12731,23998,20050
2025,Lindy 26,Gold,12980,21687,23804
2015,Lindy 26,Noir,11650,16433,18482
2016,Lindy 26,Noir,11849,21326,23644
2017,Lindy 26,Noir,12227,21034,17266
2018,Lindy 26,Noir,12142,19199,19658
2019,Lindy 26,Noir,12481,23065,22755
2020,Lindy 26,Noir,13091,30393,22987
2021,Lindy 26,Noir,12746,18324,18983
2022,Lindy 26,Noir,13590,18559,24725
2023,Lindy 26,Noir,12957,20498,17001
2024,Lindy 26,Noir,13855,23426,20279
2025,Lindy 26,Noir,13687,28491,15748
2015,Lindy 26,Etoupe,10039,23545,19930
2016,Lindy 26,Etoupe,10309,19218,16087
2017,Lindy 26,Etoupe,10638,16272,13370
2018,Lindy 26,Etoupe,10514,14862,14196
2019,Lindy 26,Etoupe,10937,17233,14347
2020,Lindy 26,Etoupe,10929,17087,13295
2021,Lindy 26,Etoupe,11227,15107,16895
2022,Lindy 26,Etoupe,11120,21047,21674
2023,Lindy 26,Etoupe,11570,22147,13682
2024,Lindy 26,Etoupe,12179,29727,18926
2025,Lindy 26,Etoupe,12275,16827,20303
2015,Lindy 26,Etain,7487,17121,14620
2016,Lindy 26,Etain,7718,14188,15014
2017,Lindy 26,Etain,7926,18518,11942
2018,Lindy 26,Etain,8217,19836,15039
2019,Lindy 26,Etain,8172,15506,13141
2020,Lindy 26,Etain,8387,18014,12511
2021,Lindy 26,Etain,8648,17831,9837
2022,Lindy 26,Etain,9458,16477,13007
2023,Lindy 26,Etain,9034,20792,15128
2024,Lindy 26,Etain,9017,21811,12379
2025,Lindy 26,Etain,10423,16559,19343
2015,Lindy 26,Craie,7838,15550,13275
2016,Lindy 26,Craie,8010,11099,15166
2017,Lindy 26,Craie,8285,20421,12392
2018,Lindy 26,Craie,8593,12597,12447
2019,Lindy 26,Craie,8812,14495,11663
2020,Lindy 26,Craie,9047,16194,11342
2021,Lindy 26,Craie,9318,12226,13246
2022,Lindy 26,Craie,9266,14458,15479
2023,Lindy 26,Craie,10017,18057,18132
2024,Lindy 26,Craie,10321,18365,13618
2025,Lindy 26,Craie,10307,14288,17536
2015,Lindy 26,Nata,9504,14481,16227
2016,Lindy 26,Nata,9768,23032,16049
2017,Lindy 26,Nata,10094,22988,12040
2018,Lindy 26,Nata,10334,24603,11987
2019,Lindy 26,Nata,10248,15729,19517
2020,Lindy 26,Nata,10340,16448,14819
2021,Lindy 26,Nata,10967,27235,20142
2022,Lindy 26,Nata,10801,25410,14404
2023,Lindy 26,Nata,11276,26340,16254
2024,Lindy 26,Nata,11345,22265,13983
2025,Lindy 26,Nata,11659,25123,15773
2015,Lindy 26,Rose Sakura,7294,14608,10692
2016,Lindy 26,Rose Sakura,7454,18173,10085
2017,Lindy 26,Rose Sakura,7636,18975,10239
2018,Lindy 26,Rose Sakura,7852,14279,15482
2019,Lindy 26,Rose Sakura,8320,11268,9441
2020,Lindy 26,Rose Sakura,8190,16763,11033
2021,Lindy 26,Rose Sakura,9007,14346,13585
